Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,job_simp,seniority,posting_date,posting_month,platform,work_setting,degree_required,min_experience_years,max_experience_years,is_urban,ai_mentioned,role_family,python,excel,hadoop,spark,aws,tableau,big_data
Data Analyst,$124012-141681,"We are looking for a Data Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.4,Urban Insights,"San Francisco, CA","Seattle, WA",1 to 50 employees,Government,Information Technology,Tech,$5 to $25 million (USD),124012,141681,132846,CA,1,44,data analyst,senior,2024-09-15,2024-09,LinkedIn,Hybrid,PhD,6,10,Non-Urban,1,Data Analyst,1,0,0,0,1,1,0
Data Engineer,$69355-82548,"We are looking for a Data Engineer to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.0,FinSight Capital,"San Francisco, CA","Chicago, IL",10000+ employees,Nonprofit Organization,Education,Tech,$5 to $10 billion (USD),69355,82548,75951,CA,1,30,data engineer,jr,2024-07-12,2024-07,LinkedIn,Hybrid,BA/BS,2,2,Urban,1,Data Engineer,0,0,0,0,1,0,0
Junior Data Analyst,$103737-122378,"We are looking for a Junior Data Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.0,RetailVision,"Seattle, WA","San Francisco, CA",5001 to 10000 employees,Nonprofit Organization,Financial Services,Education,$25 to $50 million (USD),103737,122378,113057,WA,1,41,data analyst,mid,2024-05-05,2024-05,Indeed,Hybrid,MS,4,7,Urban,0,Data Analyst,0,1,0,0,0,0,0
Reporting Analyst,$57621-91271,"We are looking for a Reporting Analyst to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.4,RetailVision,"Boston, MA","Austin, TX",501 to 1000 employees,Government,Health Care,Healthcare,$25 to $50 million (USD),57621,91271,74446,MA,1,15,bi analyst,jr,2024-10-14,2024-10,Glassdoor,Onsite,BA/BS,2,3,Non-Urban,1,Business Intelligence,0,0,1,0,0,1,0
Data Scientist,$127895-148706,"We are looking for a Data Scientist to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,FinSight Capital,"Austin, TX","Seattle, WA",501 to 1000 employees,Nonprofit Organization,Information Technology,Industrial,$5 to $25 million (USD),127895,148706,138300,TX,1,23,data scientist,senior,2024-10-01,2024-10,Glassdoor,Onsite,MS,4,7,Non-Urban,1,Data Scientist,0,0,0,0,1,0,0
Senior Data Analyst,$103293-126528,"We are looking for a Senior Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.2,Urban Insights,"Seattle, WA","San Francisco, CA",1001 to 5000 employees,Company - Private,Consulting,Consumer,$1 to $5 million (USD),103293,126528,114910,WA,1,71,data analyst,mid,2024-07-04,2024-07,Glassdoor,Remote,BA/BS,4,5,Urban,0,Data Analyst,0,1,0,1,0,0,0
Applied Data Scientist,$142821-163223,"We are looking for a Applied Data Scientist to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,BrightPath Education,"Boston, MA","Chicago, IL",501 to 1000 employees,Nonprofit Organization,Telecommunications,Education,$5 to $10 billion (USD),142821,163223,153022,MA,1,43,data scientist,senior,2024-04-25,2024-04,LinkedIn,Remote,PhD,6,8,Urban,1,Data Scientist,1,0,0,0,1,1,0
Senior Data Analyst,$61172-82635,"We are looking for a Senior Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.3,BrightPath Education,"Chicago, IL","Seattle, WA",1001 to 5000 employees,Government,Retail,Consumer,$1 to $5 billion (USD),61172,82635,71903,IL,1,14,data analyst,jr,2024-02-19,2024-02,Company Site,Remote,BA/BS,1,3,Urban,0,Data Analyst,1,1,0,0,0,1,0
Data Scientist,$70223-89869,"We are looking for a Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,FinSight Capital,"Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Public,Financial Services,Consumer,$10+ billion (USD),70223,89869,80046,IL,1,34,data scientist,jr,2024-11-29,2024-11,LinkedIn,Onsite,None,0,1,Non-Urban,1,Data Scientist,1,0,0,1,0,1,0
Reporting Analyst,$109358-125005,"We are looking for a Reporting Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.1,Greenfield Health,"Boston, MA","New York, NY",1001 to 5000 employees,Company - Private,Consulting,Tech,$1 to $5 million (USD),109358,125005,117181,MA,1,32,bi analyst,mid,2024-09-14,2024-09,Indeed,Remote,BA/BS,2,3,Urban,0,Business Intelligence,0,0,0,0,0,1,1
