program_name,skills_taught
"TKH – Data Science Innovation Fellowship (2025)","Python|Pandas|NumPy|Statistics|Probability|Exploratory Data Analysis|Data Visualization|Matplotlib|SQL|APIs|Web Scraping|Machine Learning|Regression|Classification|Clustering|Git|GitHub|Communication"
"TKH – AI & Automation Track","Python|Large Language Models|Prompt Engineering|RAG|APIs|Automation|Git|GitHub|Data Ethics|Communication"
"General Assembly – Data Science Immersive (NYC)","Python|Pandas|NumPy|Statistics|SQL|PostgreSQL|Machine Learning|Regression|Classification|Clustering|Time Series|NLP|Scikit-learn|Data Visualization|Matplotlib|Seaborn|Git|GitHub|Communication"
"General Assembly – Data Science Immersive (Remote)","Python|Pandas|NumPy|Statistics|SQL|Machine Learning|Regression|Classification|Clustering|NLP|APIs|Model Evaluation|Data Visualization|Storytelling|Communication"
"General Assembly – Data Analytics Bootcamp (Part-Time)","Excel|SQL|Google BigQuery|Data Cleaning|Descriptive Statistics|Power BI|Tableau|Dashboards|A/B Testing|Business Metrics|Communication"
"Flatiron School – Data Science (Online)","Python|Pandas|NumPy|Statistics|SQL|PostgreSQL|Machine Learning|Regression|Classification|Clustering|NLP|APIs|Matplotlib|Seaborn|Git|GitHub|Communication"
"Flatiron School – Data Science (On-Campus)","Python|Pandas|NumPy|Statistics|SQL|Machine Learning|Model Evaluation|Feature Engineering|Data Visualization|Storytelling|Communication"
"Flatiron School – Data Analytics","Excel|SQL|Tableau|Power BI|Data Cleaning|Data Visualization|Dashboards|Business Intelligence|Communication"
"Springboard – Data Science Career Track","Python|Pandas|NumPy|Statistics|Probability|SQL|Machine Learning|Regression|Classification|Clustering|Time Series|Data Wrangling|Data Visualization|Matplotlib|Seaborn|Storytelling|Communication"
"Springboard – Machine Learning Engineering Track","Python|NumPy|PyTorch|TensorFlow|Deep Learning|Computer Vision|NLP|MLOps|APIs|Cloud|Docker|Git|GitHub"
"Springboard – Data Analytics Career Track","Excel|SQL|Power BI|Tableau|Data Cleaning|Descriptive Statistics|A/B Testing|Dashboards|Storytelling|Communication"
"Thinkful – Data Analytics Flex","Excel|SQL|Tableau|Power BI|Data Cleaning|Descriptive Statistics|Hypothesis Testing|Dashboards|Business Intelligence|Communication"
"Thinkful – Data Science Flex","Python|Pandas|NumPy|Statistics|SQL|Machine Learning|Regression|Classification|Clustering|NLP|Data Visualization|Git|GitHub|Communication"
"Coursera – Google Data Analytics Certificate","Spreadsheets|SQL|R|Data Cleaning|Descriptive Statistics|Data Visualization|Tableau|Dashboards|Reporting|Communication"
"Coursera – IBM Data Science Professional Certificate","Python|Pandas|NumPy|Statistics|SQL|Databases|Machine Learning|Jupyter Notebooks|Data Visualization|APIs|Cloud|Communication"
